id,symbol,timestamp,unixtime,field,price,size,canautoexecute
151510397,HUYA,2018-08-15 09:34:03-04,1534340043,1,24.76,,t
151510398,HUYA,2018-08-15 09:34:03-04,1534340043,0,,7,
151510399,HUYA,2018-08-15 09:34:03-04,1534340043,2,24.87,,t
151510400,HUYA,2018-08-15 09:34:03-04,1534340043,3,,1,
151510401,HUYA,2018-08-15 09:34:03-04,1534340043,4,24.84,,f
151510402,HUYA,2018-08-15 09:34:03-04,1534340043,5,,1,
151510403,HUYA,2018-08-15 09:34:03-04,1534340043,0,,7,
151510404,HUYA,2018-08-15 09:34:03-04,1534340043,3,,1,
151510405,HUYA,2018-08-15 09:34:03-04,1534340043,5,,1,
151510406,HUYA,2018-08-15 09:34:03-04,1534340043,8,,11246,
151510407,HUYA,2018-08-15 09:34:03-04,1534340043,6,25.09,,f
151510408,HUYA,2018-08-15 09:34:03-04,1534340043,7,24.19,,f
151510409,HUYA,2018-08-15 09:34:03-04,1534340043,9,27.6,,f
151510410,HUYA,2018-08-15 09:34:03-04,1534340043,14,24.43,,f
151510411,HUYA,2018-08-15 09:34:04-04,1534340044,4,24.79,,f
151510412,HUYA,2018-08-15 09:34:04-04,1534340044,5,,1,
151510413,HUYA,2018-08-15 09:34:04-04,1534340044,8,,11247,
151510414,HUYA,2018-08-15 09:34:04-04,1534340044,2,24.81,,t
151510415,HUYA,2018-08-15 09:34:04-04,1534340044,3,,2,
151510416,HUYA,2018-08-15 09:34:04-04,1534340044,3,,2,
151510444,HUYA,2018-08-15 09:34:04-04,1534340044,3,,3,
151510454,HUYA,2018-08-15 09:34:05-04,1534340045,4,24.78,,f
151510455,HUYA,2018-08-15 09:34:05-04,1534340045,5,,2,
151510456,HUYA,2018-08-15 09:34:05-04,1534340045,5,,2,
151510457,HUYA,2018-08-15 09:34:05-04,1534340045,8,,11249,
151510471,HUYA,2018-08-15 09:34:06-04,1534340046,4,24.76,,f
151510472,HUYA,2018-08-15 09:34:06-04,1534340046,5,,1,
151510473,HUYA,2018-08-15 09:34:06-04,1534340046,5,,1,
151510474,HUYA,2018-08-15 09:34:06-04,1534340046,8,,11250,
151510477,HUYA,2018-08-15 09:34:06-04,1534340046,3,,2,
151510481,HUYA,2018-08-15 09:34:06-04,1534340046,1,24.6,,t
151510482,HUYA,2018-08-15 09:34:06-04,1534340046,0,,20,
151510483,HUYA,2018-08-15 09:34:06-04,1534340046,2,24.73,,t
151510484,HUYA,2018-08-15 09:34:06-04,1534340046,3,,2,
151510485,HUYA,2018-08-15 09:34:06-04,1534340046,0,,20,
151510486,HUYA,2018-08-15 09:34:06-04,1534340046,4,24.71,,f
